Unnamed: 0,Tipo,Preco,Area,Endereco,Estado,Cidade,Longitude,Latitude
1,AP,1300.0,61,"Rua da República - Cidade Baixa, Porto Alegre - RS",RS,Porto Alegre,-51.2230373,-30.0382669
2,AP,1500.0,42,"Rua Cônego Ladeira, 57 - Vila Mazzei, São Paulo - SP",SP,São Paulo,-46.6033724,-23.4779824
3,AP,700.0,35,"Centro Histórico, Porto Alegre - RS",RS,Porto Alegre,-51.2303294,-30.0325029
4,AP,1450.0,56,"Rua Marquês de Valença - Móoca, São Paulo - SP",SP,São Paulo,-46.5899411,-23.5597067
5,AP,950.0,45,"Gleba Palhano, Londrina - PR",PR,Londrina,-51.19787176514532,-23.3637853
6,AP,1150.0,45,"Jardim São Dimas, São José dos Campos - SP",SP,São José dos Campos,-45.8887572,-23.1987571
7,AP,600.0,73,"Rua Doutor Quirino, 533 - Centro, Campinas - SP",SP,Campinas,-47.0592056,-22.902741
8,AP,1500.0,49,"Jardim Flor da Montanha, Guarulhos - SP",SP,Guarulhos,-46.544632064206695,-23.4484137
10,AP,1400.0,70,"Rua César Lombroso - Bom Fim, Porto Alegre - RS",RS,Porto Alegre,,
11,AP,1300.0,103,"Jardim Anhanguéra, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.894542839003925,-20.71764965
12,AP,1900.0,110,"Canela, Salvador - BA",BA,Salvador,-38.5227317,-12.9931651
13,AP,1200.0,105,"Rua Irmã Serafina, 804 - Centro, Campinas - SP",SP,Campinas,-47.0554688,-22.9061693
14,AP,1500.0,56,"Avenida Senador José Augusto, 110 - Buritis, Belo Horizonte - MG",MG,Belo Horizonte,-43.978411,-19.9812868
15,AP,1500.0,55,"Rua João Marçal - Trindade, Florianópolis - SC",SC,Florianópolis,-48.5236817,-27.593752
16,AP,1000.0,49,"Avenida Wladimir Meirelles Ferreira - Jardim Botânico, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.7990443,-21.2097137
17,AP,1500.0,40,"Avenida Farroupilha, 8353 - São José, Canoas - RS",RS,Canoas,-51.1666611,-29.8893688
18,AP,2200.0,100,"Rua Marechal Hermes - Gutierrez, Belo Horizonte - MG",MG,Belo Horizonte,-43.9569488,-19.9307519
19,AP,1850.0,126,"Rua Laureano - Vila Camilopolis, Santo André - SP",SP,Santo André,-46.5258053,-23.6191744
20,AP,1200.0,55,"Rua Soldado Dorival de Brito - Cidade Sao Jorge, Santo André - SP",SP,Santo André,-46.48075594587912,-23.67966545
21,AP,1400.0,70,"Avenida Sete de Setembro, 2155 - Vitória, Salvador - BA",BA,Salvador,-38.5315163,-13.0018966
22,AP,1300.0,62,"Rua Vinte e Cinco de Janeiro, 102 - Centro, São Paulo - SP",SP,São Paulo,-46.0368836,-23.5700008
23,AP,3500.0,108,"Rua Barão de Teffé, 127 - Jardim Ana Maria, Jundiaí - SP",SP,Jundiaí,-46.8990167,-23.1893485
24,AP,800.0,44,"Bonsucesso, Guarulhos - SP",SP,Guarulhos,-46.4099264,-23.4074483
25,AP,1190.0,48,"Avenida Mariland - Auxiliadora, Porto Alegre - RS",RS,Porto Alegre,-51.1942724,-30.017921
26,AP,2600.0,65,"Rua Manoel Dutra, 553 - Bela Vista, São Paulo - SP",SP,São Paulo,-46.6457053,-23.5554279
27,AP,990.0,51,"Avenida São José dos Campos, 3127 - Loteamento Parque São Martinho, Campinas - SP",SP,Campinas,,
28,AP,980.0,80,"Umuarama, Uberlândia - MG",MG,Uberlândia,-48.2575942,-18.881731
29,AP,1100.0,47,"Rua Augusto Lippel - Parque Campolim, Sorocaba - SP",SP,Sorocaba,-47.475833,-23.5338428
30,AP,550.0,46,"Campestre, Piracicaba - SP",SP,Piracicaba,-47.6610397,-22.7671199
31,AP,940.0,49,"Rua Olívio Basílio Marçal, 490 - São Pedro, Osasco - SP",SP,Osasco,-46.813589,-23.5395678
32,AP,1300.0,40,"Rua Doutor Alcindo Ribeiro Conrado - Centro, Franca - SP",SP,Franca,-47.4029411,-20.5410431
33,AP,1700.0,77,"Centro, Tatuí - SP",SP,Tatuí,-47.8498657,-23.3501231
34,AP,1800.0,67,"Rua São Mateus, 1100 - Jardim do Salso, Porto Alegre - RS",RS,Porto Alegre,-51.169462469458125,-30.0516904
35,AP,945.0,59,"Rua Luiz Barreto, 1082 - Campos Eliseos, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.8067659,-21.1608657
36,AP,1200.0,70,"Rua José Bonifácio - São Domingos, Niterói - RJ",RJ,Niterói,-43.1292086,-22.8999253
37,AP,2167.0,43,"Rua José Eloy Pupo, 76 - Parque Monte Líbano, Mogi das Cruzes - SP",SP,Mogi das Cruzes,,
38,AP,1400.0,67,"Jardim Republica, Ribeirão Preto - SP",SP,Ribeirão Preto,,
39,AP,1700.0,61,"Rua A, 960 - São Sebastião, Porto Alegre - RS",RS,Porto Alegre,-51.1424772,-30.0001384
40,AP,1600.0,77,"Pátria Nova, Novo Hamburgo - RS",RS,Novo Hamburgo,-51.1299205,-29.6957978
41,AP,850.0,57,"Rua Itaboraí - Jardim Botânico, Porto Alegre - RS",RS,Porto Alegre,-51.1863278,-30.0516693
42,AP,1615.0,104,"Rua Brasílio Machado, 533 - Nova Petrópolis, São Bernardo do Campo - SP",SP,São Bernardo do Campo,,
43,AP,2200.0,100,"Rua José Benedito Salinas, 41 - Jardim Marajoara, São Paulo - SP",SP,São Paulo,-46.6883847,-23.6648476
44,AP,1600.0,80,"Rua Correia de Melo, 146 - Bom Retiro, São Paulo - SP",SP,São Paulo,-46.6372135,-23.5292574
45,AP,1600.0,65,"Avenida Martin Luther King, 2550 - Cidade São Francisco, São Paulo - SP",SP,São Paulo,,
46,AP,1200.0,70,"Rua dos Banqueiros, s/n - Sapopemba, São Paulo - SP",SP,sn  Sapopemba São Paulo,-46.5232678,-23.5862706
47,AP,2800.0,80,"Rua Tonelero, 194 - Copacabana, Rio de Janeiro - RJ",RJ,Rio de Janeiro,-43.183409,-22.9657457
48,AP,1100.0,45,"Avenida Guilhermina Cunha Coelho, 160 - City Ribeirão, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.7873824,-21.2148006
49,AP,2500.0,105,"Jardim Guanabara, Campinas - SP",SP,Campinas,-47.0639837,-22.8930847
50,AP,1400.0,43,"Rua José Antônio Coelho, 300 - Vila Mariana, São Paulo - SP",SP,São Paulo,-46.6428664,-23.580038
51,AP,1900.0,62,"Rua Monsenhor Veras, 237 - Santana, Porto Alegre - RS",RS,Porto Alegre,-51.2025534,-30.0503865
52,AP,2300.0,64,"Vila Paulista, Guarulhos - SP",SP,Guarulhos,-46.42526696221299,-23.4708405
53,AP,1500.0,51,"Rua do Trabalho, 404 - Vila Matilde, São Paulo - SP",SP,São Paulo,-46.519753,-23.5421116
54,AP,2000.0,40,"Rua Brigadeiro Galvão - Barra Funda, São Paulo - SP",SP,São Paulo,,
55,AP,1400.0,36,"Mirandópolis, São Paulo - SP",SP,São Paulo,-51.1029422,-21.1328313
56,AP,1700.0,85,"Vila Tupi, Praia Grande - SP",SP,Praia Grande,-46.45739731372616,-24.024293049999997
57,AP,4445.0,100,"Rua 1201 - Centro, Balneário Camboriú - SC",SC,Balneário Camboriú,-48.6401245,-26.9791933
58,AP,750.0,75,"Avenida São Leopoldo, 345 - São Leopoldo, Caxias do Sul - RS",RS,Caxias do Sul,-51.1846133,-29.1864434
59,AP,1300.0,65,"Rua São Caetano, 53 - Luz, São Paulo - SP",SP,São Paulo,-46.6324979,-23.534445859999998
60,AP,1900.0,62,"Praia de Itaparica, Vila Velha - ES",ES,Vila Velha,-40.30224836723967,-20.3709523
61,AP,760.0,65,"Industrial São Luiz, Contagem - MG",MG,Contagem,,
62,AP,1290.0,45,"Avenida Gomes Freire, 740 - Centro, Rio de Janeiro - RJ",RJ,Rio de Janeiro,-43.1854641,-22.9070211
63,AP,1950.0,66,"Rua Quinze de Novembro, 1330 - Centro, Barueri - SP",SP,Barueri,-46.8897117,-23.5014363
64,AP,981.0,48,"Rodovia Antônio Machado Sant'Anna, 215 - Bonfim Paulista, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.8242159,-21.315266
66,AP,1000.0,47,"Conjunto Residencial Galo Branco, São José dos Campos - SP",SP,São José dos Campos,,
67,AP,1600.0,72,"Menino Deus, Porto Alegre - RS",RS,Porto Alegre,-50.5167176,-29.8530665
68,AP,1300.0,44,"Avenida Ezelino da Cunha Glória, 630 - Jardim Maricá, Mogi das Cruzes - SP",SP,Mogi das Cruzes,-46.1819787,-23.4969697
69,AP,3800.0,72,"Jardim Paulista, São Paulo - SP",SP,São Paulo,-46.66369172062514,-23.5674355
70,AP,2750.0,109,"Avenida Jacutinga - Indianópolis, São Paulo - SP",SP,São Paulo,-46.6690478,-23.6003317
71,AP,730.0,45,"Bonsucesso, Guarulhos - SP",SP,Guarulhos,-46.4099264,-23.4074483
72,AP,1100.0,67,"Rua Aurélio Francisco Gomes, 67 - Parque Flamboyant, Campos dos Goytacazes - RJ",RJ,Campos dos Goytacazes,-41.3052611,-21.7720219
73,AP,1850.0,69,"Vila Monte Alegre, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.8380709,-21.1549551
74,AP,3000.0,52,"Rua Quatá, 835 - Vila Olímpia, São Paulo - SP",SP,São Paulo,-46.6795636,-23.5974717
75,AP,1200.0,32,"Avenida Professor Luiz Ignácio Anhaia Mello, 4659 - Vila Ema, São Paulo - SP",SP,São Paulo,,
76,AP,2200.0,85,"Rua José Hemetério Andrade, 180 - Buritis, Belo Horizonte - MG",MG,Belo Horizonte,,
77,AP,1400.0,70,"Santa Mônica, Uberlândia - MG",MG,Uberlândia,-48.23550511675226,-18.9090701
78,AP,1000.0,36,"Rua Coronel José Rodrigues Sobral, 72 - Partenon, Porto Alegre - RS",RS,Porto Alegre,-51.1861347,-30.0644644
79,AP,2800.0,48,"Rua Adriano Racine, 65 - Jardim Celeste, São Paulo - SP",SP,São Paulo,,
80,AP,850.0,30,"Avenida Rio de Janeiro, 1684 - Centro, Londrina - PR",PR,Londrina,-51.1590695,-23.3249615
81,AP,2200.0,140,"Rua Paulo Di Favari - Vila Caminho do Mar, São Bernardo do Campo - SP",SP,São Bernardo do Campo,,
82,AP,1200.0,63,"Rua Catanduva - Jardim Leocadia, Sorocaba - SP",SP,Sorocaba,-47.4346146,-23.4664758
83,AP,1500.0,52,"Rua Luiz Oscar de Carvalho, 75 - Trindade, Florianópolis - SC",SC,Florianópolis,-48.5200012,-27.5895263
84,AP,2000.0,80,"Vila Valparaiso, Santo André - SP",SP,Santo André,-46.5473436,-23.667826
85,AP,2700.0,50,"Rua Bela Cintra - Jardim América, São Paulo - SP",SP,São Paulo,,
86,AP,1121.0,58,"Rua Nossa Senhora Conceição Aparecida, 241 - Quitaúna, Osasco - SP",SP,Osasco,,
87,AP,3000.0,77,"Rua Ouvidor Peleja - Vila Mariana, São Paulo - SP",SP,São Paulo,,
88,AP,3700.0,160,"Avenida Afonso Pena, 1470 - Funcionários, Belo Horizonte - MG",MG,Belo Horizonte,-43.926157,-19.9389552
89,AP,2149.0,90,"Rua Jasmim - Chácara Primavera, Campinas - SP",SP,Campinas,-47.2084067,-22.9109367
90,AP,1550.0,67,"Alto Ipiranga, Mogi das Cruzes - SP",SP,Mogi das Cruzes,-46.2017298,-23.530426
91,AP,1600.0,72,"Butantã, São Paulo - SP",SP,São Paulo,-46.7218833626702,-23.5690555
92,AP,5500.0,88,"Rua Conselheiro Brotero - Higienópolis, São Paulo - SP",SP,São Paulo,-46.661481,-23.5396349
93,AP,3000.0,70,"Alameda Grajaú, 585 - Alphaville Comercial, Barueri - SP",SP,Barueri,,
94,AP,1000.0,50,"Rua Osório Franco Vilhena - Vila Nova Curuca, São Paulo - SP",SP,São Paulo,-46.419012,-23.5151709
95,AP,1200.0,67,"Parque Campolim, Sorocaba - SP",SP,Sorocaba,-47.4648183,-23.5262482
96,AP,1900.0,70,"Rua Cajaíba, 453 - Sumaré, São Paulo - SP",SP,São Paulo,-46.6827433,-23.5405027
97,AP,900.0,68,"Jardim Palma Travassos, Ribeirão Preto - SP",SP,Ribeirão Preto,,
98,AP,1350.0,55,"Rua José Ataliba Ortiz - Parque São Domingos, São Paulo - SP",SP,São Paulo,-46.7452231,-23.4989198
99,AP,6620.0,70,"Moema, São Paulo - SP",SP,São Paulo,-46.6628884,-23.597085
100,AP,1970.0,45,"Avenida Pires do Rio, 4615 - Itaquera, São Paulo - SP",SP,São Paulo,-46.454401,-23.5340348
101,AP,3000.0,70,"Jardim Marajoara, São Paulo - SP",SP,São Paulo,-46.6849371,-23.6553634
102,AP,1000.0,100,"Avenida Paraná, 123 - Centro, Londrina - PR",PR,Londrina,-51.1642871739665,-23.3107634
103,AP,1600.0,70,"Rua Izabel Negrão Bertotti, 101 - Mansões Santo Antônio, Campinas - SP",SP,Campinas,,
104,AP,4100.0,80,"Rua Alberto de Campos - Ipanema, Rio de Janeiro - RJ",RJ,Rio de Janeiro,-43.2027564,-22.9811522
105,AP,1110.0,80,"Rua Romualdo Lopes Cançado, 800 - Castelo, Belo Horizonte - MG",MG,Belo Horizonte,-43.9962662,-19.8922628
106,AP,2620.0,67,"Avenida Doutor Roberto de Almeida Vinhas - Maracanã, Praia Grande - SP",SP,Praia Grande,,
107,AP,550.0,55,"Avenida da Saudade - Campos Eliseos, Ribeirão Preto - SP",SP,Ribeirão Preto,,
108,AP,1544.0,60,"Rua Gavião Peixoto, 401 - Icaraí, Niterói - RJ",RJ,Niterói,-43.1106634,-22.90315
109,AP,850.0,45,"Recreio São Judas Tadeu, São Carlos - SP",SP,São Carlos,,
110,AP,3500.0,144,"Avenida Wladimir Meirelles Ferreira - Jardim Botânico, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.7990443,-21.2097137
111,AP,4500.0,125,"Rua Baturité - Aclimação, São Paulo - SP",SP,São Paulo,-46.6283323,-23.5699076
120,AP,1900.0,59,"Praça José de Alencar - Flamengo, Rio de Janeiro - RJ",RJ,Rio de Janeiro,-43.1775770899668,-22.933206300000002
121,AP,1500.0,60,"Rua Rodrigues Dórea, 428 - Jardim Armacao, Salvador - BA",BA,Salvador,-38.4348506,-12.986921
124,AP,1800.0,69,"Avenida Clavásio Alves da Silva, 820 - Casa Verde, São Paulo - SP",SP,São Paulo,,
125,AP,1800.0,40,"Rua Marechal Cantuária, 75 - Urca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,-43.1681974,-22.9510068
126,AP,1100.0,36,"Residencial Flórida, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.8383315,-21.1359142
127,AP,1100.0,103,"Centro, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.8093737,-21.1780948
128,AP,2700.0,75,"Barcelona, São Caetano do Sul - SP",SP,São Caetano do Sul,-46.5504286,-23.6203476
129,AP,850.0,33,"Rua Engenheiro Leopoldo Vila Nova, 55 - São Cristovão, Passo Fundo - RS",RS,Passo Fundo,-52.3867278,-28.2702518
130,AP,2000.0,96,"Jardim Botânico, Ribeirão Preto - SP",SP,Ribeirão Preto,-47.7953542,-21.2157061
131,AP,1200.0,47,"Jardim Doutor Julio de Mesquita Filho, Bragança Paulista - SP",SP,Bragança Paulista,,
