"Tipo","Preco","Area","Quartos","Banheiros","Endereco","Estado","Cidade","lat","long"
"AP",1300,61,1,1,"Rua da República - Cidade Baixa, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0382669,-51.2230373
"AP",1500,42,2,1,"Rua Cônego Ladeira, 57 - Vila Mazzei, São Paulo - SP, Brazil","SP","São Paulo",-23.4779824,-46.6033724
"AP",700,35,1,2,"Centro Histórico, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0325029,-51.2303294
"AP",1450,56,2,2,"Rua Marquês de Valença - Móoca, São Paulo - SP, Brazil","SP","São Paulo",-23.5597067,-46.5899411
"AP",950,45,2,1,"Gleba Palhano, Londrina - PR, Brazil","PR","Londrina",NA,NA
"AP",1150,45,1,1,"Jardim São Dimas, São José dos Campos - SP, Brazil","SP","São José dos Campos",-23.1987571,-45.8887572
"AP",600,73,1,2,"Rua Doutor Quirino, 533 - Centro, Campinas - SP, Brazil","SP","Campinas",-22.902741,-47.0592056
"AP",1500,49,2,1,"Jardim Flor da Montanha, Guarulhos - SP, Brazil","SP","Guarulhos",-23.4484137,-46.5446320642067
"AP",1400,70,2,1,"Rua César Lombroso - Bom Fim, Porto Alegre - RS, Brazil","RS","Porto Alegre",NA,NA
"AP",1300,103,2,2,"Jardim Anhanguéra, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-20.71764965,-47.8945428390039
"AP",1900,110,3,2,"Canela, Salvador - BA, Brazil","BA","Salvador",-12.9931651,-38.5227317
"AP",1200,105,2,2,"Rua Irmã Serafina, 804 - Centro, Campinas - SP, Brazil","SP","Campinas",-22.9061693,-47.0554688
"AP",1500,56,2,2,"Avenida Senador José Augusto, 110 - Buritis, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.9812868,-43.978411
"AP",1500,55,2,2,"Rua João Marçal - Trindade, Florianópolis - SC, Brazil","SC","Florianópolis",-27.593752,-48.5236817
"AP",1000,49,1,1,"Avenida Wladimir Meirelles Ferreira - Jardim Botânico, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2097137,-47.7990443
"AP",1500,40,1,1,"Avenida Farroupilha, 8353 - São José, Canoas - RS, Brazil","RS","Canoas",-29.8893688,-51.1666611
"AP",2200,100,3,1,"Rua Marechal Hermes - Gutierrez, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.9307519,-43.9569488
"AP",1850,126,3,1,"Rua Laureano - Vila Camilopolis, Santo André - SP, Brazil","SP","Santo André",-23.6191744,-46.5258053
"AP",1200,55,2,1,"Rua Soldado Dorival de Brito - Cidade Sao Jorge, Santo André - SP, Brazil","SP","Santo André",-23.67966545,-46.4807559458791
"AP",1400,70,2,1,"Avenida Sete de Setembro, 2155 - Vitória, Salvador - BA, Brazil","BA","Salvador",-13.0018966,-38.5315163
"AP",1300,62,1,1,"Rua Vinte e Cinco de Janeiro, 102 - Centro, São Paulo - SP, Brazil","SP","São Paulo",-23.5709754,-46.0359664
"AP",3500,108,3,4,"Rua Barão de Teffé, 127 - Jardim Ana Maria, Jundiaí - SP, Brazil","SP","Jundiaí",-23.1893506,-46.8991714
"AP",800,44,2,1,"Bonsucesso, Guarulhos - SP, Brazil","SP","Guarulhos",-23.4074483,-46.4099264
